Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,26.657499313354492,26.782499313354492,26.344999313354492,26.672500610351562,21.2592830657959,6459200
2015-01-05,26.645000457763672,26.6924991607666,26.297500610351562,26.389999389648438,21.034120559692383,8153600
2015-01-06,26.479999542236328,26.977500915527344,26.440000534057617,26.49250030517578,21.11581802368164,10623200
2015-01-07,26.897499084472656,26.989999771118164,26.517499923706055,26.735000610351562,21.309099197387695,7292000
2015-01-08,26.967500686645508,27.0575008392334,26.827499389648438,26.897499084472656,21.43861961364746,7602000
2015-01-09,26.9325008392334,27.0049991607666,26.592500686645508,26.65999984741211,21.249319076538086,6123200
2015-01-12,26.625,26.837499618530273,26.40999984741211,26.592500686645508,21.195518493652344,5828000
2015-01-13,26.822500228881836,27.114999771118164,26.547500610351562,26.697500228881836,21.279212951660156,6757200
2015-01-14,26.447500228881836,26.899999618530273,26.375,26.862499237060547,21.410728454589844,7327600
2015-01-15,26.88249969482422,26.957500457763672,26.530000686645508,26.760000228881836,21.329025268554688,17293200
2015-01-16,26.782499313354492,27.079999923706055,26.72249984741211,27.05500030517578,21.564159393310547,7870000
2015-01-20,27.15250015258789,27.272499084472656,26.8799991607666,27.232500076293945,21.70563316345215,7362000
2015-01-21,27.075000762939453,27.5625,26.9424991607666,27.47249984741211,21.896923065185547,12105600
2015-01-22,27.56999969482422,27.68000030517578,27.127500534057617,27.387500762939453,21.829174041748047,9290400
2015-01-23,27.469999313354492,27.55500030517578,27.334999084472656,27.3700008392334,21.81522560119629,6736400
2015-01-26,27.327499389648438,27.44499969482422,27.155000686645508,27.4375,21.869033813476562,5524800
2015-01-27,27.467500686645508,27.877500534057617,27.157499313354492,27.80500030517578,22.161945343017578,8527600
2015-01-28,27.81999969482422,28.15999984741211,27.440000534057617,27.479999542236328,21.902904510498047,8128800
2015-01-29,27.545000076293945,27.93000030517578,27.43000030517578,27.915000915527344,22.24962615966797,6823200
2015-01-30,27.864999771118164,27.877500534057617,27.290000915527344,27.309999465942383,21.76740837097168,7745600
2015-02-02,27.38249969482422,27.547500610351562,27.0049991607666,27.517499923706055,21.93279266357422,7201600
2015-02-03,27.5049991607666,27.61750030517578,27.290000915527344,27.559999465942383,21.966670989990234,8641600
2015-02-04,27.4950008392334,27.657499313354492,27.28499984741211,27.360000610351562,21.80725860595703,6255200
2015-02-05,27.454999923706055,27.522499084472656,27.207500457763672,27.427499771118164,21.861059188842773,5231600
2015-02-06,27.322500228881836,27.350000381469727,26.264999389648438,26.450000762939453,21.081937789916992,8789200
2015-02-09,26.415000915527344,26.59000015258789,26.045000076293945,26.1299991607666,20.826887130737305,8292800
2015-02-10,26.200000762939453,27.010000228881836,26.137500762939453,26.957500457763672,21.48644256591797,13585200
